,inside-canon,inside-far1
ground_lightsource,0.0,0.0
ground_container,0.0,0.0
support,0.017954887508270102,0.018274443288896602
ground_verticality,0.0,0.0
shortest_distance,0.010313888463804708,0.03379372509205006
contact_proportion,0.013381349434743164,0.004534179778206988
above_proportion,0.007378448158442281,0.025501042820046137
below_proportion,0.005695164281428184,0.0069083720987516885
bbox_overlap_proportion,0.020800230848557626,0.04373115537729798
horizontal_distance,0.005114366274184383,0.017322114390330923
f_covers_g,0.018953024847718627,0.047610676587038846
g_covers_f,0.0051168788161525345,0.02378626268088982
location_control,0.025071395826688617,0.04679313326824673
