,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
0,compsva12,box,book,1.0,0.1850866041069903,0.4295355322191364
1,compsva12,pear,book,0.8333333333333334,0.15552201352395942,0.48377807791077154
2,compsva13,balloon,book,0.25,0.06695845007247418,0.1688440264781843
3,compsva13,pear,book,0.75,0.1855558542723223,0.4461527028805074
4,compsva14,book,box,1.0,0.18271964752796918,0.4306948006224687
5,compsva14,table,box,0.0,0.06683512417584478,0.03147988035352015
6,compsva15,balloon,book,0.1111111111111111,0.0719987278019904,0.18154326811639016
7,compsva15,pear,book,1.0,0.1860078398248368,0.44676618152814734
8,compsva23,balloon,book,0.0,0.07198862493499401,0.1815196629738016
9,compsva23,box,book,1.0,0.1844908271859034,0.4234431763977055
10,compsva24,picture,bin,1.0,0.16783660312823034,0.3957311679304411
11,compsva24,table,bin,0.0,0.07117614136251724,0.03276796230032625
12,compsva25,picture,bin,1.0,0.15485591877631422,0.0570230710100737
13,compsva25,table,bin,0.0,0.07001442001551304,0.03183637703849013
14,compsva34,balloon,bin,0.2,0.07065826036990441,0.17553106381079767
15,compsva34,table,bin,0.16666666666666666,0.07225129006746753,0.03382149941012171
16,compsvi12,pencil,cup,0.0,0.12777741418363794,0.048705638299982305
17,compsvi12,pencil,table,0.2,0.19313393527081535,0.4489255798556676
18,compsvi12,cup,table,0.75,0.19998161462478242,0.460913320960475
19,compsvi12,cube,cup,0.2,0.07355934345757278,0.04529416343865679
20,compsvi12,cube,table,0.6,0.205446871036719,0.4565032007475616
21,compsvi13,pencil (1),mug,0.16666666666666666,0.10961051992691224,0.04897134440271853
22,compsvi13,pencil,mug,0.0,0.0884918880179193,0.04177418986977216
23,compsvi14,ball,bowl,0.0,0.06341758483805963,0.0478660113337113
24,compsvi14,pencil,bowl,1.0,0.1764277266427241,0.06949632098618232
25,compsvi14a,cube,bowl,0.2857142857142857,0.12065238585403487,0.04901006288967988
26,compsvi14a,pear,bowl,0.5714285714285714,0.18535184269952462,0.4259796281013213
27,compsvi15,pencil,box,0.16666666666666666,0.05565983056007569,0.03836830645166219
28,compsvi15,pear,box,0.0,0.04457393058212031,0.05998091781282662
29,compsvi16,pear,bowl,0.0,0.0693919660223346,0.03358888038326785
30,compsvi16,pencil,bowl,0.0,0.14181454429854187,0.056419792947182516
31,compsvi23,box,table,0.0,0.06266569854982887,0.031072846144001222
32,compsvi23,box (1),table,0.0,0.04143633399965423,0.02247166262248034
33,compsvi24,cube,cup,0.0,0.06906659644282817,0.03426918809380213
