,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
0,compsva12,box,book,0.3333333333333333,0.15531794753413888,0.08670332646663244
1,compsva12,pear,book,0.3333333333333333,0.08435147691681755,0.08253919815569769
2,compsva13,balloon,book,0.25,0.10724562278571675,0.09971846217789446
3,compsva13,pear,book,0.5,0.08792720405179126,0.08678792552381476
4,compsva14,book,box,0.0,0.0870359842326789,0.08584966406076242
5,compsva14,table,box,0.6666666666666666,0.22812537446573952,0.3160426212330292
6,compsva15,balloon,book,0.5555555555555556,0.10983196546831599,0.10312095123685981
7,compsva15,pear,book,0.1111111111111111,0.08792233495851627,0.08678319593072119
8,compsva23,balloon,book,0.5,0.10982979487972329,0.10311552400894199
9,compsva23,box,book,0.0,0.14939346112606178,0.0816428545543369
10,compsva24,picture,bin,0.0,0.16003051510365635,0.19617335448447795
11,compsva24,table,bin,0.6666666666666666,0.22893667503128604,0.3124376607083558
12,compsva25,picture,bin,0.0,0.16440668420199175,0.20593004660861586
13,compsva25,table,bin,0.0,0.0912664468452463,0.08520151869665024
14,compsva34,balloon,bin,0.6,0.10767747958501492,0.1018743299301979
15,compsva34,table,bin,1.0,0.23630320018313156,0.32534504427656535
16,compsvi12,pencil,cup,0.0,0.00760156849338619,0.00750534610739396
17,compsvi12,pencil,table,0.0,0.08989604073014375,0.08868566886599481
18,compsvi12,cup,table,0.0,0.08825903321558344,0.08718080385367272
19,compsvi12,cube,cup,0.0,0.008313745752948581,0.008208508464936573
20,compsvi12,cube,table,0.0,0.08764964986071558,0.08641873957570118
21,compsvi13,pencil (1),mug,0.0,0.007591601946123926,0.0074955057189578
22,compsvi13,pencil,mug,0.0,0.006666984507968148,0.006582592299006525
23,compsvi14,ball,bowl,0.0,0.008772005215327332,0.008660967174626985
24,compsvi14,pencil,bowl,0.125,0.0747949745058033,0.07317350844265967
25,compsvi14a,cube,bowl,0.14285714285714285,0.007762750441424561,0.007664487777609059
26,compsvi14a,pear,bowl,0.14285714285714285,0.08380838003296456,0.08235505717426383
27,compsvi15,pencil,box,0.3333333333333333,0.008132473799360227,0.00802953109303921
28,compsvi15,pear,box,0.0,0.010815695673870121,0.01067878813369455
29,compsvi16,pear,bowl,0.0,0.005896988511446527,0.005822343087251001
30,compsvi16,pencil,bowl,0.0,0.0068799179230394,0.006792830354393331
31,compsvi23,box,table,0.0,0.007603889200174395,0.0075076374381468705
32,compsvi23,box (1),table,0.0,0.007162636109212465,0.007071969829349015
33,compsvi24,cube,cup,0.0,0.007459986793870683,0.007365556581290041
34,compsvi24,pencil,cup,0.0,0.14565767025029472,0.07280574817153061
35,compsvi24a,pear,cup,0.0,0.1514141113974671,0.19003651298995222
36,compsvi24a,cube,cup,0.0,0.009042314584562722,0.008927854906277117
37,compsvi25,pencil,box,0.0,0.00806350092350112,0.007961431291558067
38,compsvi25,pencil (1),box,0.0,0.006452154361058336,0.006370481521044938
39,compsvi26,cube,cup,0.16666666666666666,0.007462515337299323,0.007368053117839838
40,compsvi26,pencil,cup,0.0,0.00584821430281023,0.0057741862736607336
41,compsvi26a,pencil,lamp,0.0,0.007895845386629855,0.007795897976672515
42,compsvi26a,bowl,lamp,0.0,0.005830559893396361,0.005756755337783749
43,compsvi3,pencil,mug,0.0,0.006646950600520087,0.00656281198532363
44,compsvi3,pear,mug,0.0,0.005925946964938501,0.005850934978040545
45,compsvi34,pencil (1),mug,0.0,0.07891710027569292,0.07741601132635735
46,compsvi34,pencil,mug,0.0,0.006654496355865967,0.006570262224779056
47,compsvi36,pencil,mug,0.0,0.006646945255378912,0.0065628067078424696
48,compsvi36,pear,mug,0.0,0.005924505363518665,0.005849511624739947
49,compsvi45,pencil,mug,0.0,0.006657623133332672,0.006573349422784157
50,compsvi45,cup,mug,0.0,0.005857370642424564,0.005783226710241974
51,compsvi46,ball,bowl,0.0,0.006080032832615988,0.006003070391696798
52,compsvi46,pencil,bowl,0.14285714285714285,0.07377198634438384,0.07206664605550708
53,compsvinew1,cube,plate,0.0,0.007628375570950596,0.007531813854862612
54,compsvinew1,pencil,plate,0.0,0.008035591880014546,0.007933875527102967
55,compsvo12,box,table,0.0,0.0070767697676768285,0.00698719040352902
56,compsvo12,book (1),table,0.3333333333333333,0.08864959025033098,0.08724036596486581
57,compsvo12,book,table,0.3333333333333333,0.08587314652587129,0.08435122616440202
58,compsvo12v,book,board,0.0,0.08661434572382756,0.08539742536987545
59,compsvo12v,clock,board,0.0,0.010560022158643071,0.010426350992077968
60,compsvo13v,jar,board,0.0,0.006404116491045171,0.006323051725335738
61,compsvo13v,book,board,0.2857142857142857,0.08669327391664071,0.08548363605884543
62,compsvo14,book (1),table,0.2,0.08836260613822648,0.08707475853533274
63,compsvo14,book,table,0.0,0.08648744757136849,0.0849058456153601
64,compsvo14a,box,table,0.0,0.08578666985851915,0.08436860783424029
65,compsvo14a,book,table,0.0,0.08971195859458328,0.0884335542977335
66,compsvo14v,jar,board,0.0,0.005846010673445513,0.005772010538338608
67,compsvo14v,book,board,0.0,0.08667725026159649,0.08546613692063232
68,compsvo16,balloon,table,0.0,0.11134609563672952,0.1048981046895111
69,compsvo16,book,table,0.0,0.08750818795280282,0.08601059418873408
70,compsvo16a,balloon,table,0.2,0.09128096465308409,0.08596477178927493
71,compsvo16a,book,table,0.0,0.08749962412687244,0.08600131859845074
72,compsvo17,box,table,0.0,0.007156400573231416,0.00706581322420317
73,compsvo17,book,table,0.0,0.10279337222784792,0.09926322130317214
74,compsvo18,box,table,0.0,0.00580402656302832,0.0057305578723570744
75,compsvo18,book,table,0.0,0.086327044933173,0.084768284064809
76,compsvo19,box,table,0.0,0.005784393194614716,0.005711173027594276
77,compsvo19,book,table,0.0,0.08633312647037018,0.08477485501196574
78,compsvo23v,jar,board,0.0,0.006403737167023429,0.006322677202883892
79,compsvo23v,clock,board,0.16666666666666666,0.010533796446474649,0.010400457250949652
80,compsvo24,pear,table,0.0,0.09281499479994343,0.09085964963385253
81,compsvo24,book,table,0.0,0.08601211673037328,0.08448022195469801
82,compsvo24v,jar,board,0.0,0.005845601287160572,0.005771606334158539
83,compsvo24v,clock,board,0.0,0.010532987184203006,0.010399658232504234
84,compsvo26,balloon,table,0.6,0.11134609563672952,0.1048981046895111
